# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
19014.957793 |    5) kworker-13086  |               |  mes_v11_0_hw_init [amdgpu]() {
19014.957794 |    5) kworker-13086  |   0.210 us    |    amdgpu_in_reset [amdgpu]();
19014.957798 |    5) kworker-13086  |               |    mes_v11_0_mqd_init.isra.0 [amdgpu]() {
19014.957798 |    5) kworker-13086  |   0.130 us    |      amdgpu_device_flush_hdp [amdgpu]();
19014.957798 |    5) kworker-13086  |   0.792 us    |    }
19014.957799 |    5) kworker-13086  |   0.301 us    |    amdgpu_ring_alloc [amdgpu]();
19014.957799 |    5) kworker-13086  |               |    gfx11_kiq_map_queues [amdgpu]() {
19014.957799 |    5) kworker-13086  |               |      amdgpu_bo_gpu_offset [amdgpu]() {
19014.957800 |    5) kworker-13086  |   0.130 us    |        mutex_is_locked();
19014.957801 |    5) kworker-13086  |               |        amdgpu_bo_gpu_offset_no_check [amdgpu]() {
19014.957801 |    5) kworker-13086  |   0.130 us    |          amdgpu_ttm_domain_start [amdgpu]();
19014.957801 |    5) kworker-13086  |   0.411 us    |        }
19014.957801 |    5) kworker-13086  |   1.834 us    |      }
19014.957802 |    5) kworker-13086  |   2.334 us    |    }
19014.957802 |    5) kworker-13086  |               |    amdgpu_ring_test_helper [amdgpu]() {
19014.957802 |    5) kworker-13086  |               |      gfx_v11_0_ring_test_ring [amdgpu]() {
19014.957802 |    5) kworker-13086  |               |        amdgpu_device_wreg [amdgpu]() {
19014.957802 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_wreg.part.0 [amdgpu]();
19014.957803 |    5) kworker-13086  |   0.651 us    |        }
19014.957803 |    5) kworker-13086  |   0.141 us    |        amdgpu_ring_alloc [amdgpu]();
19014.957803 |    5) kworker-13086  |   0.190 us    |        gfx_v11_0_ring_emit_wreg [amdgpu]();
19014.957804 |    5) kworker-13086  |               |        amdgpu_ring_commit [amdgpu]() {
19014.957804 |    5) kworker-13086  |   0.301 us    |          amdgpu_ring_insert_nop [amdgpu]();
19014.957804 |    5) kworker-13086  |               |          gfx_v11_0_ring_set_wptr_compute [amdgpu]() {
19014.957805 |    5) kworker-13086  |               |            amdgpu_mm_wdoorbell64 [amdgpu]() {
19014.957805 |    5) kworker-13086  |   0.140 us    |              amdgpu_device_skip_hw_access [amdgpu]();
19014.957810 |    5) kworker-13086  |   0.521 us    |            }
19014.957810 |    5) kworker-13086  |   5.781 us    |          }
19014.957810 |    5) kworker-13086  |   6.712 us    |        }
19014.957811 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957811 |    5) kworker-13086  |   0.140 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957812 |    5) kworker-13086  |   0.981 us    |        }
19014.957812 |    5) kworker-13086  |               |        __const_udelay() {
19014.957812 |    5) kworker-13086  |               |          delay_halt() {
19014.957812 |    5) kworker-13086  |   1.633 us    |            delay_halt_mwaitx();
19014.957814 |    5) kworker-13086  |   1.934 us    |          }
19014.957814 |    5) kworker-13086  |   2.224 us    |        }
19014.957814 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957814 |    5) kworker-13086  |   0.131 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957815 |    5) kworker-13086  |   0.962 us    |        }
19014.957815 |    5) kworker-13086  |               |        __const_udelay() {
19014.957815 |    5) kworker-13086  |               |          delay_halt() {
19014.957816 |    5) kworker-13086  |   1.753 us    |            delay_halt_mwaitx();
19014.957817 |    5) kworker-13086  |   2.053 us    |          }
19014.957818 |    5) kworker-13086  |   2.345 us    |        }
19014.957818 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957818 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957819 |    5) kworker-13086  |   0.962 us    |        }
19014.957819 |    5) kworker-13086  |               |        __const_udelay() {
19014.957819 |    5) kworker-13086  |               |          delay_halt() {
19014.957819 |    5) kworker-13086  |   1.683 us    |            delay_halt_mwaitx();
19014.957821 |    5) kworker-13086  |   1.984 us    |          }
19014.957821 |    5) kworker-13086  |   2.274 us    |        }
19014.957821 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957821 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957822 |    5) kworker-13086  |   0.961 us    |        }
19014.957822 |    5) kworker-13086  |               |        __const_udelay() {
19014.957823 |    5) kworker-13086  |               |          delay_halt() {
19014.957823 |    5) kworker-13086  |   1.643 us    |            delay_halt_mwaitx();
19014.957824 |    5) kworker-13086  |   1.944 us    |          }
19014.957825 |    5) kworker-13086  |   2.234 us    |        }
19014.957825 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957825 |    5) kworker-13086  |   0.131 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957826 |    5) kworker-13086  |   0.962 us    |        }
19014.957826 |    5) kworker-13086  |               |        __const_udelay() {
19014.957826 |    5) kworker-13086  |               |          delay_halt() {
19014.957826 |    5) kworker-13086  |   1.633 us    |            delay_halt_mwaitx();
19014.957828 |    5) kworker-13086  |   1.934 us    |          }
19014.957828 |    5) kworker-13086  |   2.214 us    |        }
19014.957828 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957828 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957829 |    5) kworker-13086  |   0.951 us    |        }
19014.957829 |    5) kworker-13086  |               |        __const_udelay() {
19014.957829 |    5) kworker-13086  |               |          delay_halt() {
19014.957830 |    5) kworker-13086  |   1.724 us    |            delay_halt_mwaitx();
19014.957832 |    5) kworker-13086  |   2.014 us    |          }
19014.957832 |    5) kworker-13086  |   2.304 us    |        }
19014.957832 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957832 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957833 |    5) kworker-13086  |   0.962 us    |        }
19014.957833 |    5) kworker-13086  |               |        __const_udelay() {
19014.957834 |    5) kworker-13086  |               |          delay_halt() {
19014.957834 |    5) kworker-13086  |   1.683 us    |            delay_halt_mwaitx();
19014.957836 |    5) kworker-13086  |   1.983 us    |          }
19014.957836 |    5) kworker-13086  |   2.275 us    |        }
19014.957836 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
